역번호,역명,상가수_300m,상가수_500m,상위업종_500m
219,서면,2641,6042,"음식(1913), 소매(1876), 수리·개인(709)"
218,전포,1018,2381,"음식(956), 수리·개인(444), 소매(433)"
201,장산,1615,2089,"음식(737), 소매(431), 수리·개인(272)"
212,경성대부경대,1361,1933,"음식(751), 소매(273), 수리·개인(231)"
233,덕천,1045,1791,"음식(760), 소매(600), 수리·개인(168)"
203,해운대,770,1742,"음식(695), 소매(342), 숙박(168)"
206,센텀시티,986,1742,"소매(613), 과학·기술(320), 음식(275)"
208,수영,984,1671,"음식(681), 소매(357), 수리·개인(197)"
213,대연,753,1499,"음식(549), 소매(340), 수리·개인(189)"
235,화명,936,1450,"음식(462), 소매(235), 수리·개인(217)"
210,금련산,448,1272,"음식(491), 소매(223), 수리·개인(130)"
211,남천,632,1232,"음식(433), 소매(246), 교육(134)"
209,광안,505,1051,"음식(353), 소매(232), 수리·개인(174)"
223,개금,365,998,"음식(362), 소매(253), 수리·개인(132)"
216,문현,219,910,"음식(284), 소매(212), 과학·기술(113)"
230,모라,377,837,"음식(328), 소매(193), 수리·개인(132)"
202,중동,496,820,"음식(207), 소매(177), 수리·개인(141)"
228,덕포,325,794,"음식(308), 소매(225), 수리·개인(111)"
207,민락,262,778,"음식(321), 소매(118), 수리·개인(98)"
227,사상,178,762,"음식(394), 소매(100), 수리·개인(84)"
214,못골,231,750,"음식(223), 소매(170), 수리·개인(105)"
220,부암,245,741,"음식(225), 소매(152), 수리·개인(107)"
224,냉정,397,678,"음식(243), 소매(133), 수리·개인(117)"
217,국제금융센터부산은행,333,672,"음식(244), 소매(155), 수리·개인(90)"
225,주례,329,603,"음식(209), 소매(153), 수리·개인(101)"
232,구명,124,560,"음식(175), 소매(122), 수리·개인(84)"
204,동백,89,543,"음식(126), 소매(110), 수리·개인(83)"
226,감전,231,525,"과학·기술(192), 음식(102), 소매(79)"
222,동의대,159,511,"음식(168), 소매(123), 수리·개인(77)"
231,구남,247,480,"음식(140), 소매(123), 수리·개인(83)"
205,벡스코,253,402,"음식(109), 소매(107), 수리·개인(42)"
215,지게골,161,400,"음식(148), 소매(94), 수리·개인(61)"
234,수정,224,384,"음식(125), 소매(76), 수리·개인(52)"
221,가야,148,281,"음식(76), 소매(63), 수리·개인(58)"
238,금곡,122,253,"음식(78), 소매(61), 수리·개인(45)"
229,모덕,97,214,"음식(46), 소매(46), 수리·개인(43)"
236,율리,90,203,"음식(68), 소매(52), 수리·개인(31)"
237,동원,25,55,"음식(16), 소매(13), 수리·개인(13)"
239,호포,0,0,
240,증산,0,0,
241,부산대양산캠퍼스,0,0,
242,남양산,0,0,
243,양산,0,0,
